Parameter,Frequency,50,150,250,350,450,550
Y_N_c,50,(-0.12880677849424146-0.006703454816740326j),(1.7606892358828805-0.43099541376725636j),(1.4757487183255489-0.5567937975085326j),(1.7775153223636067-0.3309224364445894j),(1.5069293131530184-0.49968984431475627j),(1.7575004683952822-0.3352399606521015j)
Y_N_c,150,(0.2988603091970514-0.029662075554453465j),(-1.8114033577537125+0.05060208747133221j),(-1.4029068337853243+0.5756474687722584j),(-1.995975787041624-0.2013334631152257j),(-1.396063409472546+0.38296713593727355j),(-2.223151086088782-0.11261746763096148j)
Y_N_c,250,(-0.45292226608598685-0.029387175606557542j),(1.7766189717391034+0.31005566089621694j),(1.2747092778266138-0.5813320711455368j),(2.2129757055383408+0.6846890996938793j),(1.149867850577286-0.26675553643574157j),(2.90983619644125+0.5088780471101207j)
Y_N_c,350,(0.5394266510627941+0.1592654959785976j),(-1.6621689153785328-0.6205191642467072j),(-1.0994346350775215+0.5797936640649597j),(-2.404602788665645-1.0957968157360947j),(-0.7899081828619952+0.18448173400534057j),(-3.71584093826533-0.8853062713173345j)
Y_N_c,450,(-0.5308558971609072-0.31174680449785735j),(1.4820140309818437+0.8561324930358742j),(0.8894470242047112-0.5771122194523232j),(2.544483008176934+1.4145759832982736j),(0.35175188473921043-0.16169049194702803j),(4.506559792931693+1.259453665788725j)
Y_N_c,550,(0.432211639456646+0.43336315039583806j),(-1.2560070355570911-1.0008520208125122j),(-0.6601913478482633+0.5757816677935764j),(-2.608712524997266-1.6288318317335644j),(0.11889191653586378+0.20994755691087832j),(-5.139260754050026-1.6262501727271284j)
I_N_c,0,(-0.06332506986414366-0.11363979428546678j),(40.23627776609984-10.932004740159144j),(-77.70396424537489-0.2985238050768828j),(100.44344877636046+28.359114991304978j),(-101.90274822687934-62.29081042135021j),(82.97340063158443+89.85859845132458j)
Y_N_uc,0,(-0.12880677849424146-0.006703454816740313j),(-0.32283507116316484-0.5002807723240894j),(-0.18455425825738853-0.16714461619858864j),(-3.4313876641416536-1.8661398632875132j),(-0.3515039068424573+0.013626003999387449j),(-3.1189544956869533-0.4992210629380027j)
I_N_uc,0,(-0.06332506986414543-0.11363979428545834j),(-24.851011110273713-4.129369867570986j),(22.988441806909172+6.207782738362406j),(-25.237876429579764-10.744602695097756j),(18.53625420295537+9.236651346253481j),(-12.955375925831218-5.789819479686441j)
