Parameter,Frequency,50,150,250,350,450,550,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150,2250,2350,2450,2550,2650,2750,2850,2950,3050,3150,3250,3350,3450,3550,3650,3750,3850,3950,4050,4150,4250,4350,4450,4550,4650,4750,4850,4950
Y_N_c,1050,(0.09191887368164209-0.09777788495852963j),(0.19780977156618615+0.47577988151918543j),(-0.25448494806059485-0.5275650888106588j),(1.4923081662381654+1.064526278181089j),(-1.480216512378137-1.1205252639257814j),(3.3021069483396053+1.9483116347560245j),(-2.824391969037213-1.263943690606797j),(5.202504113968067+2.4116586138800082j),(-3.910217907462058-1.1033658717215273j),(6.189264581281575+1.9403361922007674j),(-4.642280340967424-0.843958514092884j),(5.847562718235893+1.1136731426186766j),(-4.488258965276082+0.530727196783441j),(4.685360447640752+0.4136812129022889j),(-3.043302240020893+1.3419084893975881j),(3.2252920277072925-0.024193867559258564j),(-1.2149654642754244+1.1672956873538067j),(1.7702508607287013-0.23052729721482434j),(0.1682412411296269+0.7541702802375227j),(0.5298268120138916+0.3190942352143964j),(0.9269223516174754+0.3294087877647942j),(0.057581771126031356+1.0409682948081656j),(1.1620354432172835-0.011309470554981493j),(0.11217731288634647+1.1446628393312965j),(1.0079554685753873-0.17198666985446692j),(0.3898153293601682+0.9365137792844599j),(0.6866985077088464+0.1783156594192325j),(0.6348341703388528+0.633266737006512j),(0.537696200129736+0.5565994033133095j),(0.7556773672443722+0.33389508938469925j),(0.5132941712699648+0.7336473296525192j),(0.6922184964213443+0.24566898806062074j),(0.5696308616665267+0.6881805010182467j),(0.6035560017488324+0.37904614677672926j),(0.6475216843937088+0.5475710365798729j),(0.5747562066653302+0.5309425587561587j),(0.6888287181103457+0.390270073400154j),(0.5799787958409308+0.6241344886503631j),(0.6414198613087987+0.39779550471138775j),(0.6004558918608233+0.5904229391132929j),(0.6154712633647168+0.4641075930888045j),(0.6274164241008517+0.4931195024669969j),(0.6172426316664594+0.5306350479713089j),(0.61184333163664+0.4414770851282015j),(0.6300279860871685+0.5705921473724287j),(0.589467847388939+0.46333532430636426j),(0.6386126316144949+0.544171463188317j),(0.594400967889383+0.4979170978713068j),(0.6367095091392273+0.4805825378458616j),(0.6137043332126919+0.5242631476145496j)
Y_N_c,1150,(-0.05637374073978449+0.008203539023691794j),(-0.102764364658919-0.24916788308578702j),(0.3261563073529804+0.4793513835857971j),(-1.0696542754890848-0.7104949105545023j),(1.3992820453054393+1.2368776014597902j),(-2.164285355384878-1.4870155511425405j),(2.70234980028473+1.592247019469055j),(-3.929854703616718-2.118586564636389j),(3.827697293855694+1.5868687010450773j),(-5.409205016514172-1.905940255404794j),(4.62434412301352+1.409065128517693j),(-5.653719208128606-1.1452963546988013j),(5.0414290469977034+0.05387796601532746j),(-4.9011267815386645-0.3567436576634777j),(4.199537540897507-1.0200490568212877j),(-3.657882230489114+0.2233204593518774j),(2.4629038891186052-1.050084282560003j),(-2.2818886695528287+0.5689812907959978j),(0.8427019714271043-0.7154558584569549j),(-0.7590186442076234+0.18468980863093729j),(-0.2499584720123591-0.2720257844396054j),(0.08916741297861672-0.6125959176633411j),(-0.7965687449889396+0.14266299035349264j),(0.2878878476811363-0.8867620223926966j),(-0.8593679589041119+0.41792849984109853j),(0.08811904856027214-0.791708756372112j),(-0.49892972150078296+0.1965596455981793j),(-0.20239922764897647-0.5271770078166299j),(-0.2667907645608586-0.1857287832684864j),(-0.4296264999517008-0.21179059853227747j),(-0.18056272663930367-0.44101463558174625j),(-0.4212095589821622-0.03633458443306767j),(-0.20541500774346363-0.4682013837639104j),(-0.3073822492529919-0.09696034187461303j),(-0.30145047721840446-0.3695068285574057j),(-0.25200583090377715-0.23845433458286408j),(-0.3888060584472026-0.21555908824124137j),(-0.25130297641248356-0.3625460031159703j),(-0.33536323385016265-0.17150458972162935j),(-0.26992882806180046-0.3675628483912478j),(-0.28997990953059066-0.20654096288338622j),(-0.31500039570415644-0.29594717719327535j),(-0.28188020922033113-0.27017130895100794j),(-0.3060079826756601-0.23043239887448874j),(-0.3026954837524336-0.3271199818172152j),(-0.2670301618250531-0.22567611866971415j),(-0.3245357240370632-0.3244831418338645j),(-0.25772115491642184-0.24893334011107598j),(-0.3369742480858941-0.27256385468308286j),(-0.2741963989587473-0.2780882767972082j)
Y_N_c,1250,(0.006416520802878859+0.03537979772347103j),(0.05239960065001334+0.03853377767891716j),(-0.35802662184800793-0.4104954939441323j),(0.649592354143647+0.3359259406443268j),(-1.216452257288175-1.2642859443509271j),(1.0451041575629565+0.8884692754948655j),(-2.409099570985777-1.8047082106504857j),(2.5638504491489824+1.6072869262276444j),(-3.526447928044724-1.9556419598972021j),(4.419456078901212+1.716797050126595j),(-4.364239365791828-1.870055015313024j),(5.263493890819823+1.1343416725320736j),(-5.298738312118313-0.7337705875792175j),(5.010860417827167+0.3450592705499307j),(-5.155682464848318+0.491170314720508j),(4.084586711101563-0.33108722402928503j),(-3.6836828100397883+0.7760794309158972j),(2.872951102619513-0.797907768393887j),(-1.935491214953899+0.6015974024600926j),(1.1834270270150686-0.6812963344025651j),(-0.5401705604043839+0.21302497472507168j),(-0.0362516349357179+0.06419079655581424j),(0.3375627401596811-0.22237506443170718j),(-0.5506595244447904+0.4996469176428987j),(0.6741074173644072-0.5895867615987649j),(-0.5024639797855033+0.5610455788149475j),(0.3634539134843762-0.5624582968816466j),(-0.217867232924345+0.3892756113124379j),(0.07527984790442403-0.2442846117383225j),(0.09235677880928377+0.10619994472246724j),(-0.08141686979469402+0.06376191770299247j),(0.16461531540451654-0.1459038499208058j),(-0.11006717750451628+0.1804896514670728j),(0.05763810157012673-0.18964047935875475j),(-0.019165620851222483+0.1556135758921782j),(-0.0163883139905492-0.09190168379498483j),(0.10345967571531489+0.036587386423192314j),(-0.029906821804754596+0.0446125283376475j),(0.06409299757696235-0.05936654997029928j),(-0.023150953622864533+0.09614123794519386j),(0.01091583321669649-0.0705664631253777j),(0.028479473521754575+0.07031407253218734j),(-0.007243665410325512-0.024992012337361934j),(0.031401772106439754+0.0036851568866450163j),(0.014336116068334837+0.04021743669359407j),(-0.012800843973475745-0.030781044808163176j),(0.0419937213057687+0.06636644308737952j),(-0.033047566250721-0.026738667902484244j),(0.0650996206945419+0.03916276620244617j),(-0.0228546974479197-0.0015262771890466797j)
Y_N_c,1350,(0.0331446259238562-0.04029558648018252j),(-0.037487451552995744+0.1365108295772063j),(0.35633229875874073+0.3219918099502096j),(-0.26625967179008947+0.02537737224283368j),(0.9637636872253235+1.1905483131400625j),(-0.07704236717794474-0.22909676708602947j),(1.9876659206103668+1.8706410909628668j),(-1.2650569498854884-0.9398805667476152j),(3.0505364245206055+2.166384376865474j),(-3.3195754888543636-1.3844106802487393j),(3.903120885270451+2.1765805161593947j),(-4.704169634459822-1.0780420193695794j),(5.221925864898054+1.4145077942545254j),(-4.991416807702269-0.3819468962297916j),(5.7930154412221455+0.18052611414730135j),(-4.45757716408971+0.32999898844042064j),(4.756184573939675-0.3667650336056545j),(-3.4871375378075187+0.8860126424567647j),(3.029956700943598-0.41376253353900105j),(-1.7875873608311883+1.0968742237979647j),(1.4096092229560988-0.15143144893765337j),(-0.2557174788718748+0.5337247751848307j),(0.21786619886539776+0.24418651935569355j),(0.6103434851243057-0.020972728840876836j),(-0.42817276379276675+0.6635412885411498j),(0.7905082014262964-0.25918626751237056j),(-0.274926608068468+0.8633506001281015j),(0.582031127693945-0.22489148383863175j),(0.01772328163555728+0.6755449409507132j),(0.23527323158343516-0.02245441729331127j),(0.23912940589742826+0.35649550691466064j),(0.06849682858700515+0.2762453116963785j),(0.33954853916802624+0.15036365601737556j),(0.13018352816857598+0.4377846592962294j),(0.2831233860735769+0.07994183564618135j),(0.2063882443131717+0.41472856153067716j),(0.1466617610095982+0.13376560294086523j),(0.2356635605808482+0.2916966928615341j),(0.15333049247009362+0.2670122453175846j),(0.250235556054356+0.1967477905253937j),(0.19866296639677944+0.330486068178202j),(0.2075201868558253+0.1648993495848981j),(0.2235682573011203+0.3171627913136995j),(0.19082119321304858+0.21637178299490623j),(0.20815155984279243+0.2566153817725346j),(0.22722504170097663+0.27563759539226534j),(0.18384263185785296+0.2035675361782156j),(0.25222500285446214+0.2949577508556366j),(0.15686211411771467+0.19733134715002373j),(0.25023150994599674+0.28089455331799457j)
Y_N_c,1450,(-0.04948023265175079+0.024494129175177154j),(0.04560027741678381-0.26278398664036107j),(-0.3292815558012135-0.21778073760520034j),(-0.05188174980346223-0.3406354372859527j),(-0.6787731323884707-1.017049379854279j),(-0.6414804763369556-0.39958376005892937j),(-1.4921415977047392-1.7779255989766245j),(0.17087167872378886+0.2086763070019039j),(-2.4588335199005678-2.195523160885875j),(2.214585065269357+0.9424343553534025j),(-3.2995059742479134-2.2988704037264642j),(4.012522185424626+0.9733980655141612j),(-4.822003570926253-1.999727563611419j),(4.823217539737745+0.4570597429611407j),(-6.033020513809335-0.90310175586754j),(4.728976661003639-0.21918698634374523j),(-5.571378566775523-0.13350385526500963j),(4.061539391614771-0.8215064695046339j),(-4.040731908882156+0.16288056243205484j),(2.5256681105180787-1.362935140947331j),(-2.314142713657506+0.08404129925792114j),(0.793409336097834-1.0944640549412508j),(-0.864043095220193-0.21251424140838687j),(-0.42201075492350837-0.4932903883742465j),(0.09786341010852229-0.6312426848481238j),(-0.8973047474821672-0.08814214062340336j),(0.20979476155686533-1.048209819524124j),(-0.8455149109377678+0.04142862233754738j),(-0.014741661378095072-1.0428980906006966j),(-0.5282739338049331-0.0398210884637811j),(-0.2760785585566556-0.766247722496967j),(-0.27288357921779094-0.3384217371242268j),(-0.4561743736361229-0.4908604273098531j),(-0.2533656343839942-0.6074634807153244j),(-0.4636718009497888-0.31975214867955326j),(-0.30848057938158-0.6809870900013029j),(-0.34304885339170255-0.2851918212226011j),(-0.3499952699794332-0.6011467287462423j),(-0.30611919143147714-0.4272099823373727j),(-0.3914165666054984-0.4779218786061572j),(-0.3276061007421631-0.537111100039849j),(-0.3734785649857296-0.3882619226369437j),(-0.3524775550324819-0.5658986680888769j),(-0.3461170007340926-0.408090777250262j),(-0.3476584296862288-0.5251247581663828j),(-0.3635922905620943-0.47927760294508037j),(-0.335128761270074-0.4545317610634669j),(-0.3855796101063244-0.5207025006320225j),(-0.31275890427106573-0.41286617332325587j),(-0.3914093994770844-0.5237560932609194j)
Y_N_c,1550,(0.04361140217679217-0.0065914796715476134j),(-0.06335208792800208+0.3344190526798396j),(0.28573108578604706+0.10442710560334446j),(0.2855914115966813+0.5817371097314404j),(0.39911737107813317+0.7586914410180746j),(1.0603923544892588+0.9079593484997073j),(0.9802804325271655+1.534348688471884j),(0.6246641396369679+0.48034001104207097j),(1.8170728272129932+2.0415607726214646j),(-1.200981522131429-0.44213892077549377j),(2.6204799624886026+2.229553820011179j),(-3.2356545047494962-0.8231394002717589j),(4.150030594055392+2.3989984107147437j),(-4.504049469998902-0.557626707012816j),(5.845645125666533+1.5678710008316346j),(-4.858556508905588+0.01336118305958145j),(6.047544540799152+0.6636247289950499j),(-4.534496332921592+0.6132756882718994j),(4.886576987935377+0.13086669514457827j),(-3.325140506741307+1.428702580145913j),(3.2019945560784606-0.006713050321142333j),(-1.5455898344174395+1.5290954660915068j),(1.584673128949785+0.14131691731020513j),(-0.02921589762942317+0.9761892441627695j),(0.3351004433461682+0.5006312131139572j),(0.7838192933918932+0.4463748002114739j),(-0.12887981461564635+1.0808546197801618j),(0.9679026794443413+0.1513493951758102j),(-0.05782086910152001+1.284809324232244j),(0.7586721331597686+0.08567932235929104j),(0.1977821912001553+1.1075561519100818j),(0.44563359741328457+0.3279710461618359j),(0.44890137924356477+0.802152881402277j),(0.3217114466737885+0.6693838817104351j),(0.5425729032437743+0.5441626681532044j),(0.32969553465167084+0.8463815190802657j),(0.47103917113314786+0.41043461597181735j),(0.3723017354083251+0.8378921528054498j),(0.3923589204569735+0.5235852864384709j),(0.4390818058056044+0.7120768111325632j),(0.3780298122787312+0.6614963881484166j),(0.45797817923759987+0.5776134985515309j),(0.39375133372370313+0.7347605523038182j),(0.4282187352550283+0.5532603173416749j),(0.39986334185798755+0.7279809901252017j),(0.42086855723751593+0.6177126910993461j),(0.4043061176271303+0.6554433603516719j),(0.432393668966399+0.6739471437262152j),(0.3946752613028912+0.5842969263732307j),(0.4432229054742629+0.6970397979834191j)
Y_N_c,1650,(-0.026019985772291608-0.002023366143850961j),(0.07857382463120612-0.35272887150432763j),(-0.23395548889579054+0.009640513790732885j),(-0.42690675956825347-0.7286551782865222j),(-0.15738047579215728-0.44183966577867134j),(-1.1822260129198248-1.2255524377595544j),(-0.5060560976452523-1.1662043452123263j),(-1.081992728826271-1.0270676510433128j),(-1.189601541456846-1.7244579843066719j),(0.354957964944917-0.055326745416613476j),(-1.9332844345452567-1.9834616036144674j),(2.4255909593249987+0.6350934337835218j),(-3.294540906232228-2.549464501966791j),(4.040466196756568+0.6612018187424891j),(-5.265478728164897-2.0780362104487047j),(4.813563134031923+0.2547830606459516j),(-6.142791063854355-1.1560124759509123j),(4.853246762485945-0.289226761453905j),(-5.4993377696454875-0.44006766440911993j),(4.095772064292438-1.2713795471329257j),(-4.017671454802544-0.084084679245086j),(2.444445107231794-1.7618428556131014j),(-2.352025207422535-0.05144282995949667j),(0.7232196634752274-1.3595785378012382j),(-0.878509412949203-0.29524686854077364j),(-0.4334156426905564-0.7759542128543455j),(-0.015985149917173036-0.9480343755965888j),(-0.9177572145788476-0.3413614408739887j),(0.15220723998984398-1.3546931595904037j),(-0.8974547693690561-0.12299796679880176j),(-0.03314500074738397-1.3270824171332594j),(-0.583663645593915-0.2535773255086485j),(-0.3258191462742638-1.044919838210204j),(-0.35414250837421624-0.6114539627807183j),(-0.5134188155401516-0.7327804770325285j),(-0.292122880141183-0.8797875711572853j),(-0.5214006616937841-0.5052404497100876j),(-0.31790499020236107-0.9630176672750569j),(-0.41778356646572856-0.550617023593708j),(-0.39968632029533585-0.8666521389205801j),(-0.3638699128932548-0.6876048211517497j),(-0.45972996320646475-0.7123205406360622j),(-0.3611736986032964-0.7980358239606169j),(-0.43949241424020513-0.6393092948347116j),(-0.373935437517048-0.8349604327039765j),(-0.40885429612999746-0.6766557984072075j),(-0.395435142779897-0.7793870094888141j),(-0.40488390670181695-0.7350887443791011j),(-0.40406962265631896-0.69224664500729j),(-0.4160342794177167-0.776630023034825j)
Y_N_c,1750,(0.00915487689820449-1.781191232829403e-05j),(-0.08209877415849078+0.325152145348705j),(0.18068506234704687-0.11520945643154029j),(0.4794204128019234+0.7720748175676617j),(-0.022998734303239208+0.10062138019801678j),(1.056187408933075+1.3146761767584731j),(0.11319470992628858+0.7144339582303486j),(1.216688997531137+1.3558508118826897j),(0.6319141631067593+1.2822658752683604j),(0.275534327400334+0.4885048444509153j),(1.2975818837267052+1.5946080363115729j),(-1.634427758293111-0.42181579943473635j),(2.366184716866676+2.426886977119663j),(-3.4536146261991916-0.744243467726637j),(4.375253637109537+2.3567906093957225j),(-4.585032835922807-0.5487598291274447j),(5.854337793338594+1.5426773026572222j),(-4.981658760096031-0.10883593300955163j),(5.831424603184048+0.7333553343891888j),(-4.742651714044779+0.9020956889019911j),(4.706570413204611+0.18976508416267435j),(-3.3935646376918025+1.744072132859987j),(3.1276967772761646-0.0331050076092646j),(-1.6052174708449323+1.5847652292593j),(1.5255918337912338+0.05082622445356505j),(-0.14432299744537003+1.0372880033767091j),(0.27228881809809097+0.663888651264824j),(0.6768890967721715+0.5146781284275317j),(-0.20650014932397914+1.2304901008567133j),(0.917246824062492+0.16016210176854773j),(-0.16831538952168268+1.385158546786647j),(0.680917927780459+0.13597814066648792j),(0.11471011237172207+1.1848788003625594j),(0.372793449786466+0.4424749423397042j),(0.38368664147039405+0.8663950905789772j),(0.22803750828461283+0.770024009808154j),(0.4915985029213489+0.5678384383295336j),(0.2155104893310681+0.9516360348565829j),(0.39316363496176554+0.5146118568005982j),(0.293205188445939+0.9168620744825571j),(0.30696227731060116+0.6159519355703655j),(0.38824724250492976+0.7757201620766574j),(0.27932014086853424+0.7460634720715247j),(0.39004357714362803+0.6606181733856273j),(0.29072387805654365+0.8285097876270333j),(0.3454226946180409+0.6539145065209944j),(0.32359137035685437+0.8079506329551895j),(0.3251252744046057+0.6987565510450472j),(0.3515097116049433+0.7237397632116591j),(0.33134866870701263+0.7519819206884554j)
Y_N_c,1850,(-0.0008429568272814497+0.006584228083178994j),(0.06891319113084614-0.2635081801382896j),(-0.13053171514960205+0.20351045051239244j),(-0.45680012432586314-0.7147505052600135j),(0.13023088666252797+0.2278400660116583j),(-0.7639742189375855-1.1775197092990255j),(0.16949431402836312-0.2289261499605969j),(-1.09031323031538-1.429240742274218j),(-0.18489282987283384-0.7655867647688447j),(-0.6739647311055899-0.805332973782808j),(-0.759344673437446-1.1109079605280114j),(0.9096428182916187+0.1995108231867435j),(-1.4792484685750547-2.0504774734813185j),(2.7769518100731667+0.7851069484067049j),(-3.2974250121723023-2.3658285347803822j),(4.177963221536001+0.8243371444261491j),(-5.230247726256055-1.7753434396496357j),(4.8980112037029535+0.5265536963105117j),(-5.862260554198964-0.9803888512172401j),(5.181024020604836-0.36604523718253934j),(-5.21993407514548-0.30845634344567396j),(4.281443045345418-1.464137088915099j),(-3.8650659348102185+0.08937949519958766j),(2.591514372166005-1.6121908754002297j),(-2.2528137440330465+0.1901835282565948j),(0.9130796329801303-1.1961077985280861j),(-0.6759484897123293-0.2695351171351903j),(-0.24353836134391832-0.6564532932606052j),(0.15540776625644964-0.9204954103618108j),(-0.7955093927428778-0.20372180477298357j),(0.34317803972386224-1.2632782604185278j),(-0.7261643643860303-0.00441939063798652j),(0.13942553264335839-1.1980919476894543j),(-0.39589052377675105-0.19199449168669558j),(-0.17514730833878428-0.9291189979891199j),(-0.17248411323847046-0.5294779717173018j),(-0.38666772906807856-0.5981069876419239j),(-0.10188498715076352-0.7981998582356464j),(-0.33109340630765394-0.43229068652553554j),(-0.1502177476301582-0.8500617614568913j),(-0.23156195223138562-0.46420389342457546j),(-0.2629662515133925-0.7574361812558867j),(-0.1781465414906152-0.5879763315984711j),(-0.2958588954188146-0.6187219039171663j),(-0.17870735027975926-0.7075983459457194j),(-0.2524763791900141-0.5595279704271681j),(-0.2123518163290852-0.7346754381755387j),(-0.22016551705119072-0.5751091320076065j),(-0.2550286654840239-0.6741999700249498j),(-0.21734455653871773-0.6285843586854666j)
Y_N_c,1950,(0.0014956764465353517-0.009614953530707925j),(-0.03854016634361506+0.1818674915176065j),(0.08585073735478184-0.2673996952777313j),(0.3798737776113349+0.571279164144714j),(-0.16480478380554814-0.5085296815884214j),(0.4008449117850676+0.8551536796591475j),(-0.3304581312941605-0.2381678830604813j),(0.7939897015284876+1.254221824539145j),(-0.12860940680891528+0.23071371433976487j),(0.8535455957828455+0.9712850353035983j),(0.3470346463540652+0.5874619973338652j),(-0.29004625284046903+0.013637910101563802j),(0.7327100980235641+1.4794732747215533j),(-2.053358978148875-0.7677633171179619j),(2.172704310648941+2.110927782782747j),(-3.6170365663375437-1.040646232224427j),(4.349791736294053+1.8241826562895425j),(-4.609904863952187-0.913476863590647j),(5.59355608218568+1.1514724321190708j),(-5.351616417728515-0.2644645655731861j),(5.519647815271966+0.43442965971047576j),(-4.998259126154335+0.9510717056246476j),(4.513272672169174-0.0994948492194534j),(-3.5799302420311268+1.4284514340653887j),(3.020185637078237-0.3853713357592822j),(-1.8127794453833692+1.2284221649681162j),(1.2414203397870027-0.17252071619514453j),(-0.36598365063209815+0.7522711012722805j),(0.05722451115694428+0.46407019446410563j),(0.5179035727342021+0.25646929809609287j),(-0.42382724083413215+0.9685866736416109j),(0.7022376745121086-0.10882636185089842j),(-0.37968266108333226+1.0752005238721472j),(0.431079951281556-0.09397416076824391j),(-0.07756013184430455+0.9104890443988387j),(0.15476293945317265+0.19362388305540296j),(0.21961095178865359+0.5966624087251247j),(0.01461443128411663+0.5189237931144948j),(0.243100836612286+0.32716020046386124j),(0.006981674177684499+0.668663578694009j),(0.15859200553184993+0.26438411152624225j),(0.1108330848449513+0.6552226170116984j),(0.08649178500035071+0.35111829223782937j),(0.17640132222961347+0.5214314492228754j),(0.0684283041473599+0.4890072498924316j),(0.15157955348059024+0.41355441831067513j),(0.08974488903745328+0.5669501295296793j),(0.11640823533127384+0.3882133303660844j),(0.13734453850076084+0.5484790749187979j),(0.10322304742004318+0.427639258633253j)
Y_N_c,2050,(-0.005706097448173926+0.004425638709183406j),(-0.0053475590446847195-0.09437591826334811j),(-0.0470105438913401+0.30231221044119905j),(-0.272836414455091-0.3662216673179465j),(0.13824885795372685+0.7132242008067219j),(-0.05615633570726501-0.41875063979406935j),(0.37523599665313573+0.6391425841805323j),(-0.428457337794407-0.8797749514364469j),(0.3045662476410793+0.2675643085813291j),(-0.8513890164499457-0.9745517226668229j),(-0.07038262451604774-0.0793893584269456j),(-0.1972264382657608-0.19951963537456616j),(-0.1945629068521445-0.8021442305509142j),(1.3309036000041337+0.6846564126920958j),(-1.1373127337006261-1.6402723849249947j),(2.942733598756586+1.1650000799460136j),(-3.3177929087976463-1.687262449091707j),(4.14015427042441+1.2206691067869595j),(-5.061850103969593-1.2305745117012457j),(5.223921980221927+0.8968539989350954j),(-5.583785717574562-0.5591643864744038j),(5.453004435423491-0.27124295587584335j),(-5.022315298763395+0.05378085767843421j),(4.463351278614445-1.0493768018363077j),(-3.7743174766417122+0.49928014802777265j),(2.765747401415267-1.1242892890229326j),(-1.9550042833071115+0.5883980559538312j),(1.1174957256251814-0.7897777755367232j),(-0.46649615255592203+0.07320780959204386j),(-0.08136484869989773-0.31630669686827284j),(0.34963977429642706-0.5344121280086532j),(-0.587303619947977+0.17489382431329928j),(0.5447477739488241-0.8238427597118044j),(-0.47088515786676755+0.36079862173638994j),(0.33014396613446184-0.8072344073932576j),(-0.19057611777812852+0.18376847929536466j),(-0.011226605702627873-0.5641304486457546j),(0.015777748619359454-0.15067466766936874j),(-0.1379013373314287-0.2243667537135676j),(0.10077885722123947-0.3910026235122508j),(-0.10100268689894551-0.05705676888100919j),(0.037391199611893966-0.4760137934587431j),(-0.0258724097962281-0.07701709185327615j),(-0.052100238604659135-0.3811327788321647j),(0.01353716961838762-0.20562715124420022j),(-0.06024856399456335-0.24193917993625025j),(0.016670289075078143-0.32589391525607014j),(-0.03449363667894516-0.17170114146736254j),(-0.022364345784229633-0.3607139393676473j),(-0.01353240673151436-0.18284856850233167j)
Y_N_c,2150,(0.006606291800603491+0.007859829083519707j),(0.05596860726745613+0.013347341104907439j),(0.012976114515182643-0.30684272688864966j),(0.15926380914382557+0.13077861552958342j),(-0.07031634272172729-0.8240796236229564j),(-0.20264418349643662-0.044983423406897455j),(-0.3239791357473239-0.9365464919629384j),(0.08473069865259225+0.3864602306222421j),(-0.3560584736107723-0.6825128919027867j),(0.7198103928751636+0.8274098549407225j),(-0.07830045118817912-0.3648109727835953j),(0.5384005335404369+0.3422627809826921j),(-0.10757730283177847+0.11950753774702787j),(-0.6577770310845032-0.5382375605304677j),(0.3019857946062191+1.034958157019327j),(-2.2066246150859343-1.1774105836880244j),(2.2484855425837633+1.3897581564334414j),(-3.529892527254179-1.4114757087200624j),(4.320784957542495+1.2088257635393436j),(-4.814973235542953-1.4420221538951328j),(5.4022398507290035+0.6678868318008153j),(-5.589391509435802-0.4824669059507454j),(5.348642830968007+0.04742148772578947j),(-5.144321702007028+0.5185492286733093j),(4.453988065799983-0.509324262504092j),(-3.6852864281396296+0.889792768540425j),(2.773015507393346-0.9055617898002698j),(-1.9610979989327433+0.7603941165833271j),(1.0774566666478425-0.6093441769364484j),(-0.5036056195583327+0.37613615805131695j),(-0.0777997776520454+0.016540831247087447j),(0.35826096802796364-0.17444089254617665j),(-0.5775565903390364+0.4687602101196876j),(0.49159800732261355-0.5552771409980503j),(-0.5333787905087459+0.6244231549981464j),(0.2765593924536025-0.5391040146665559j),(-0.2107370523778953+0.5008258604533676j),(0.027120455121115133-0.2537089688876857j),(0.021291088043727695+0.14512064122461654j),(-0.1443884337368957+0.04984966516409797j),(0.0613911368072312-0.11647232456506501j),(-0.15164772796525172+0.23593714575310043j),(0.00592954588950223-0.18552448025396337j),(-0.057902498033442266+0.21268547879246222j),(-0.049891793853459335-0.09813584838539102j),(-0.010326089166869199+0.07133371675329386j),(-0.08474469685273045+0.044083235926317146j),(-0.014217147403692447-0.03751249764165212j),(-0.06849552064037648+0.13297146986257352j),(-0.03636154391186129-0.0652275367481458j)
Y_N_c,2250,(-0.00026028298456100794-0.02150770569529959j),(-0.10491419461641403+0.052128376593682836j),(0.017934584656724303+0.2828724245685597j),(-0.058616931445633284+0.10152102619797773j),(-0.01488791157428826+0.8356329028978906j),(0.3396553970355869+0.4509582358449459j),(0.2071615906540324+1.1073365969741744j),(0.17095959558411744+0.12968292761590558j),(0.30947878876791934+0.9805254433934617j),(-0.5164486090740898-0.5636163130549141j),(0.12069152669622477+0.7085266056771432j),(-0.7333041313719382-0.4302217952098537j),(0.1879251479431673+0.4728993290280404j),(0.07707232458654595+0.34092643354867364j),(0.2635765176611677-0.39365087476326777j),(1.4653035471164086+1.0732103920377702j),(-1.2500861470297207-0.9796297791183j),(2.83185145140613+1.4648827250942582j),(-3.4414321874705776-1.0904070309352218j),(4.173285593125682+1.8206435223509367j),(-4.9924832037984395-0.7500469972477466j),(5.387523306530774+1.2012141283592106j),(-5.462026974054114-0.19445490188168346j),(5.548403325902779+0.0985858669751043j),(-4.997524218129695+0.40966620724455005j),(4.485569146006304-0.5468628568923646j),(-3.6255875010409535+1.065897274973725j),(2.835155412814684-0.660857859586474j),(-1.8609126922834727+1.0590980584590768j),(1.2118876966573036-0.4248224594293425j),(-0.40812211644425317+0.5143322703485155j),(0.0041435871465224615+0.10215210450674815j),(0.43386989458600156-0.04943884112706591j),(-0.45621417206709935+0.6359852160405904j),(0.638824337000137-0.37575044969821403j),(-0.3885301972278389+0.8097252977465971j),(0.4131953989228102-0.4069693054138333j),(-0.14078834629218076+0.6330662939884921j),(0.10229480477737707-0.10193553913847461j),(0.10795381950141232+0.3113625496944765j),(-0.032524882443691866+0.2224162664565209j),(0.2073080028049299+0.04083228283430393j),(-0.02257996966086491+0.38905198886948755j),(0.13753918191480008-0.03139655160577352j),(0.0361257715079797+0.37320744052833715j),(0.055745730079969164+0.07601230829402973j),(0.10181049704965582+0.23866698767035224j),(0.02882140859953227+0.20622627279414513j),(0.1196122392623545+0.1071887955363385j),(0.04272040834706733+0.2762713819393496j)
